Land-Ocean: Global Means,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average
1880,-0.17,-0.24,-0.09,-0.15,-0.09,-0.2,-0.17,-0.09,-0.14,-0.23,-0.21,-0.17,-0.1625
1881,-0.19,-0.13,0.04,0.06,0.07,-0.18,0.01,-0.02,-0.14,-0.21,-0.18,-0.06,-0.0775
1882,0.17,0.15,0.05,-0.16,-0.14,-0.22,-0.15,-0.06,-0.14,-0.23,-0.16,-0.35,-0.103333333
1883,-0.28,-0.36,-0.12,-0.18,-0.17,-0.06,-0.07,-0.13,-0.21,-0.11,-0.24,-0.11,-0.17
1884,-0.12,-0.08,-0.36,-0.4,-0.34,-0.34,-0.32,-0.27,-0.27,-0.25,-0.33,-0.3,-0.281666667
1885,-0.58,-0.33,-0.25,-0.41,-0.44,-0.43,-0.33,-0.3,-0.27,-0.22,-0.23,-0.09,-0.323333333
1886,-0.42,-0.5,-0.42,-0.27,-0.23,-0.34,-0.17,-0.3,-0.23,-0.27,-0.26,-0.24,-0.304166667
1887,-0.7,-0.56,-0.35,-0.33,-0.29,-0.23,-0.24,-0.34,-0.24,-0.34,-0.25,-0.32,-0.349166667
1888,-0.33,-0.34,-0.4,-0.19,-0.21,-0.16,-0.09,-0.14,-0.11,0.02,0.04,-0.04,-0.1625
1889,-0.08,0.18,0.07,0.1,0,-0.09,-0.07,-0.19,-0.23,-0.25,-0.33,-0.28,-0.0975
1890,-0.41,-0.45,-0.39,-0.29,-0.39,-0.24,-0.27,-0.38,-0.36,-0.24,-0.43,-0.31,-0.346666667
1891,-0.33,-0.46,-0.17,-0.26,-0.16,-0.19,-0.16,-0.16,-0.15,-0.21,-0.3,-0.04,-0.215833333
1892,-0.28,-0.1,-0.39,-0.32,-0.23,-0.21,-0.31,-0.26,-0.16,-0.13,-0.41,-0.37,-0.264166667
1893,-0.8,-0.55,-0.22,-0.26,-0.33,-0.25,-0.14,-0.24,-0.22,-0.18,-0.18,-0.32,-0.3075
1894,-0.51,-0.28,-0.22,-0.44,-0.3,-0.39,-0.23,-0.23,-0.27,-0.22,-0.25,-0.2,-0.295
1895,-0.39,-0.41,-0.31,-0.2,-0.26,-0.2,-0.16,-0.16,-0.12,-0.1,-0.15,-0.13,-0.215833333
1896,-0.21,-0.11,-0.25,-0.29,-0.15,-0.1,-0.02,-0.04,-0.06,0.07,-0.03,-0.03,-0.101666667
1897,-0.14,-0.16,-0.12,-0.01,0,-0.11,-0.02,-0.08,-0.08,-0.12,-0.17,-0.19,-0.1
1898,-0.01,-0.28,-0.49,-0.29,-0.29,-0.17,-0.21,-0.25,-0.2,-0.33,-0.37,-0.22,-0.259166667
1899,-0.15,-0.38,-0.35,-0.2,-0.23,-0.31,-0.15,-0.08,-0.04,-0.04,0.13,-0.25,-0.170833333
1900,-0.34,-0.04,0.02,-0.08,-0.08,-0.09,-0.12,-0.08,-0.05,0.1,-0.06,-0.05,-0.0725
1901,-0.21,-0.1,0.07,-0.01,-0.15,-0.11,-0.14,-0.19,-0.22,-0.29,-0.17,-0.27,-0.149166667
1902,-0.17,-0.06,-0.28,-0.28,-0.32,-0.3,-0.28,-0.29,-0.29,-0.29,-0.35,-0.41,-0.276666667
1903,-0.23,-0.05,-0.22,-0.4,-0.39,-0.41,-0.35,-0.44,-0.49,-0.48,-0.42,-0.5,-0.365
1904,-0.63,-0.57,-0.48,-0.5,-0.51,-0.47,-0.51,-0.48,-0.56,-0.39,-0.17,-0.33,-0.466666667
1905,-0.35,-0.59,-0.21,-0.33,-0.29,-0.27,-0.26,-0.2,-0.19,-0.25,-0.07,-0.13,-0.261666667
1906,-0.28,-0.29,-0.18,-0.05,-0.26,-0.2,-0.23,-0.2,-0.28,-0.2,-0.37,-0.14,-0.223333333
1907,-0.43,-0.51,-0.27,-0.37,-0.46,-0.41,-0.35,-0.34,-0.35,-0.23,-0.47,-0.46,-0.3875
1908,-0.45,-0.33,-0.55,-0.44,-0.37,-0.38,-0.35,-0.46,-0.36,-0.44,-0.52,-0.49,-0.428333333
1909,-0.72,-0.46,-0.54,-0.59,-0.54,-0.52,-0.45,-0.33,-0.39,-0.4,-0.31,-0.56,-0.484166667
1910,-0.42,-0.42,-0.5,-0.42,-0.34,-0.39,-0.35,-0.36,-0.39,-0.41,-0.55,-0.67,-0.435
1911,-0.62,-0.58,-0.61,-0.53,-0.51,-0.49,-0.41,-0.44,-0.41,-0.27,-0.21,-0.21,-0.440833333
1912,-0.25,-0.14,-0.38,-0.18,-0.21,-0.23,-0.42,-0.54,-0.58,-0.58,-0.38,-0.43,-0.36
1913,-0.4,-0.45,-0.43,-0.39,-0.44,-0.45,-0.36,-0.33,-0.35,-0.32,-0.19,-0.02,-0.344166667
1914,0.05,-0.1,-0.24,-0.3,-0.22,-0.26,-0.24,-0.16,-0.17,-0.04,-0.15,-0.04,-0.155833333
1915,-0.2,-0.04,-0.1,0.06,-0.06,-0.22,-0.12,-0.22,-0.21,-0.25,-0.13,-0.21,-0.141666667
1916,-0.12,-0.14,-0.28,-0.31,-0.35,-0.49,-0.37,-0.27,-0.36,-0.33,-0.46,-0.82,-0.358333333
1917,-0.57,-0.63,-0.63,-0.55,-0.55,-0.44,-0.25,-0.22,-0.23,-0.44,-0.33,-0.68,-0.46
1918,-0.47,-0.34,-0.25,-0.44,-0.43,-0.36,-0.31,-0.31,-0.18,-0.07,-0.11,-0.29,-0.296666667
1919,-0.2,-0.24,-0.21,-0.13,-0.28,-0.36,-0.29,-0.33,-0.26,-0.2,-0.41,-0.42,-0.2775
1920,-0.25,-0.27,-0.12,-0.24,-0.27,-0.36,-0.31,-0.27,-0.22,-0.27,-0.27,-0.47,-0.276666667
1921,-0.05,-0.18,-0.24,-0.3,-0.31,-0.28,-0.15,-0.26,-0.19,-0.04,-0.14,-0.18,-0.193333333
1922,-0.33,-0.44,-0.15,-0.23,-0.34,-0.31,-0.28,-0.32,-0.36,-0.33,-0.15,-0.19,-0.285833333
1923,-0.28,-0.39,-0.34,-0.41,-0.34,-0.29,-0.31,-0.33,-0.31,-0.14,-0.02,-0.04,-0.266666667
1924,-0.23,-0.24,-0.08,-0.31,-0.18,-0.26,-0.29,-0.36,-0.32,-0.36,-0.21,-0.43,-0.2725
1925,-0.39,-0.4,-0.28,-0.26,-0.29,-0.33,-0.27,-0.2,-0.2,-0.17,0.05,0.06,-0.223333333
1926,0.2,0.02,0.1,-0.13,-0.24,-0.26,-0.28,-0.14,-0.16,-0.12,-0.06,-0.29,-0.113333333
1927,-0.27,-0.18,-0.39,-0.31,-0.25,-0.28,-0.19,-0.24,-0.13,-0.01,-0.06,-0.33,-0.22
1928,-0.02,-0.09,-0.26,-0.28,-0.3,-0.39,-0.2,-0.22,-0.22,-0.2,-0.09,-0.16,-0.2025
1929,-0.45,-0.59,-0.33,-0.42,-0.38,-0.44,-0.37,-0.32,-0.26,-0.15,-0.11,-0.54,-0.363333333
1930,-0.3,-0.27,-0.11,-0.25,-0.25,-0.22,-0.21,-0.15,-0.16,-0.12,0.18,-0.06,-0.16
1931,-0.1,-0.21,-0.1,-0.23,-0.2,-0.08,-0.04,-0.04,-0.07,0.04,-0.06,-0.06,-0.095833333
1932,0.15,-0.17,-0.18,-0.06,-0.17,-0.29,-0.25,-0.22,-0.11,-0.09,-0.27,-0.26,-0.16
1933,-0.24,-0.29,-0.3,-0.24,-0.29,-0.35,-0.21,-0.23,-0.29,-0.25,-0.3,-0.45,-0.286666667
1934,-0.21,-0.03,-0.29,-0.31,-0.1,-0.15,-0.11,-0.12,-0.16,-0.07,0.03,-0.03,-0.129166667
1935,-0.34,0.14,-0.15,-0.37,-0.3,-0.27,-0.22,-0.22,-0.22,-0.06,-0.26,-0.18,-0.204166667
1936,-0.28,-0.39,-0.22,-0.2,-0.17,-0.22,-0.1,-0.13,-0.1,-0.03,0.01,-0.01,-0.153333333
1937,-0.08,0.03,-0.21,-0.16,-0.06,-0.05,-0.04,0.01,0.09,0.09,0.08,-0.07,-0.030833333
1938,0.08,0.03,0.09,0.06,-0.1,-0.17,-0.1,-0.06,0,0.14,0.07,-0.13,-0.0075
1939,-0.06,-0.07,-0.18,-0.1,-0.05,-0.07,-0.06,-0.06,-0.07,-0.04,0.07,0.43,-0.021666667
1940,-0.01,0.08,0.09,0.17,0.11,0.11,0.12,0.07,0.15,0.11,0.16,0.31,0.1225
1941,0.18,0.31,0.09,0.16,0.17,0.13,0.22,0.15,0.02,0.35,0.23,0.22,0.185833333
1942,0.29,0.03,0.05,0.09,0.11,0.05,0,-0.04,-0.03,0.01,0.09,0.13,0.065
1943,-0.01,0.17,-0.04,0.1,0.06,-0.05,0.08,0.01,0.05,0.23,0.2,0.23,0.085833333
1944,0.36,0.24,0.26,0.19,0.18,0.15,0.17,0.18,0.27,0.26,0.11,0.03,0.2
1945,0.1,0,0.05,0.19,0.05,0,0.03,0.26,0.2,0.18,0.07,-0.07,0.088333333
1946,0.15,0.02,0.01,0.05,-0.08,-0.21,-0.13,-0.2,-0.08,-0.08,-0.05,-0.31,-0.075833333
1947,-0.07,-0.08,0.06,0.06,-0.02,-0.02,-0.05,-0.07,-0.13,0.07,0.03,-0.13,-0.029166667
